match_date,year,home_team,away_team,home_score,away_score,result,winner,goal_difference,total_goals,tournament,decided_by_penalties,penalty_winner,city,country,neutral
1872-11-30,1872,Scotland,England,0,0,draw,draw,0,0,Friendly,False,,Glasgow,Scotland,False
1873-03-08,1873,England,Scotland,4,2,home_win,England,2,6,Friendly,False,,London,England,False
1874-03-07,1874,Scotland,England,2,1,home_win,Scotland,1,3,Friendly,False,,Glasgow,Scotland,False
1875-03-06,1875,England,Scotland,2,2,draw,draw,0,4,Friendly,False,,London,England,False
1876-03-04,1876,Scotland,England,3,0,home_win,Scotland,3,3,Friendly,False,,Glasgow,Scotland,False
1876-03-25,1876,Scotland,Wales,4,0,home_win,Scotland,4,4,Friendly,False,,Glasgow,Scotland,False
1877-03-03,1877,England,Scotland,1,3,away_win,Scotland,-2,4,Friendly,False,,London,England,False
1877-03-05,1877,Wales,Scotland,0,2,away_win,Scotland,-2,2,Friendly,False,,Wrexham,Wales,False
1878-03-02,1878,Scotland,England,7,2,home_win,Scotland,5,9,Friendly,False,,Glasgow,Scotland,False
1878-03-23,1878,Scotland,Wales,9,0,home_win,Scotland,9,9,Friendly,False,,Glasgow,Scotland,False
1879-01-18,1879,England,Wales,2,1,home_win,England,1,3,Friendly,False,,London,England,False
1879-04-05,1879,England,Scotland,5,4,home_win,England,1,9,Friendly,False,,London,England,False
1879-04-07,1879,Wales,Scotland,0,3,away_win,Scotland,-3,3,Friendly,False,,Wrexham,Wales,False
1880-03-13,1880,Scotland,England,5,4,home_win,Scotland,1,9,Friendly,False,,Glasgow,Scotland,False
1880-03-15,1880,Wales,England,2,3,away_win,England,-1,5,Friendly,False,,Wrexham,Wales,False
1880-03-27,1880,Scotland,Wales,5,1,home_win,Scotland,4,6,Friendly,False,,Glasgow,Scotland,False
1881-02-26,1881,England,Wales,0,1,away_win,Wales,-1,1,Friendly,False,,Blackburn,England,False
1881-03-12,1881,England,Scotland,1,6,away_win,Scotland,-5,7,Friendly,False,,London,England,False
1881-03-14,1881,Wales,Scotland,1,5,away_win,Scotland,-4,6,Friendly,False,,Wrexham,Wales,False
1882-02-18,1882,Northern Ireland,England,0,13,away_win,England,-13,13,Friendly,False,,Belfast,Ireland,False
1882-02-25,1882,Wales,Northern Ireland,7,1,home_win,Wales,6,8,Friendly,False,,Wrexham,Wales,False
1882-03-11,1882,Scotland,England,5,1,home_win,Scotland,4,6,Friendly,False,,Glasgow,Scotland,False
1882-03-13,1882,Wales,England,5,3,home_win,Wales,2,8,Friendly,False,,Wrexham,Wales,False
1882-03-25,1882,Scotland,Wales,5,0,home_win,Scotland,5,5,Friendly,False,,Glasgow,Scotland,False
1883-02-03,1883,England,Wales,5,0,home_win,England,5,5,Friendly,False,,London,England,False
1883-02-24,1883,England,Northern Ireland,7,0,home_win,England,7,7,Friendly,False,,Liverpool,England,False
1883-03-10,1883,England,Scotland,2,3,away_win,Scotland,-1,5,Friendly,False,,Sheffield,England,False
1883-03-12,1883,Wales,Scotland,0,3,away_win,Scotland,-3,3,Friendly,False,,Wrexham,Wales,False
1883-03-17,1883,Northern Ireland,Wales,1,1,draw,draw,0,2,Friendly,False,,Belfast,Ireland,False
1884-01-26,1884,Northern Ireland,Scotland,0,5,away_win,Scotland,-5,5,British Home Championship,False,,Belfast,Ireland,False
1884-02-09,1884,Wales,Northern Ireland,6,0,home_win,Wales,6,6,British Home Championship,False,,Wrexham,Wales,False
1884-02-23,1884,Northern Ireland,England,1,8,away_win,England,-7,9,British Home Championship,False,,Belfast,Ireland,False
1884-03-15,1884,Scotland,England,1,0,home_win,Scotland,1,1,British Home Championship,False,,Glasgow,Scotland,False
1884-03-17,1884,Wales,England,0,4,away_win,England,-4,4,British Home Championship,False,,Wrexham,Wales,False
1884-03-29,1884,Scotland,Wales,4,1,home_win,Scotland,3,5,British Home Championship,False,,Glasgow,Scotland,False
1885-02-28,1885,England,Northern Ireland,4,0,home_win,England,4,4,British Home Championship,False,,Manchester,England,False
1885-03-14,1885,England,Wales,1,1,draw,draw,0,2,British Home Championship,False,,Blackburn,England,False
1885-03-14,1885,Scotland,Northern Ireland,8,2,home_win,Scotland,6,10,British Home Championship,False,,Glasgow,Scotland,False
1885-03-21,1885,England,Scotland,1,1,draw,draw,0,2,British Home Championship,False,,London,England,False
1885-03-23,1885,Wales,Scotland,1,8,away_win,Scotland,-7,9,British Home Championship,False,,Wrexham,Wales,False
1885-04-11,1885,Northern Ireland,Wales,2,8,away_win,Wales,-6,10,British Home Championship,False,,Belfast,Ireland,False
1885-11-28,1885,United States,Canada,0,1,away_win,Canada,-1,1,Friendly,False,,Newark,United States,False
1886-02-27,1886,Wales,Northern Ireland,5,0,home_win,Wales,5,5,British Home Championship,False,,Wrexham,Wales,False
1886-03-13,1886,Northern Ireland,England,1,6,away_win,England,-5,7,British Home Championship,False,,Belfast,Ireland,False
1886-03-20,1886,Northern Ireland,Scotland,2,7,away_win,Scotland,-5,9,British Home Championship,False,,Belfast,Ireland,False
1886-03-27,1886,Scotland,England,1,1,draw,draw,0,2,British Home Championship,False,,Glasgow,Scotland,False
1886-03-29,1886,Wales,England,1,3,away_win,England,-2,4,British Home Championship,False,,Wrexham,Wales,False
1886-04-10,1886,Scotland,Wales,4,1,home_win,Scotland,3,5,British Home Championship,False,,Glasgow,Scotland,False
1886-11-25,1886,United States,Canada,3,2,home_win,United States,1,5,Friendly,False,,Newark,United States,False
1887-02-05,1887,England,Northern Ireland,7,0,home_win,England,7,7,British Home Championship,False,,Sheffield,England,False
1887-02-19,1887,Scotland,Northern Ireland,4,1,home_win,Scotland,3,5,British Home Championship,False,,Glasgow,Scotland,False
1887-02-26,1887,England,Wales,4,0,home_win,England,4,4,British Home Championship,False,,London,England,False
1887-03-12,1887,Northern Ireland,Wales,4,1,home_win,Northern Ireland,3,5,British Home Championship,False,,Belfast,Ireland,False
1887-03-19,1887,England,Scotland,2,3,away_win,Scotland,-1,5,British Home Championship,False,,Blackburn,England,False
1887-03-21,1887,Wales,Scotland,0,2,away_win,Scotland,-2,2,British Home Championship,False,,Wrexham,Wales,False
1888-02-04,1888,England,Wales,5,1,home_win,England,4,6,British Home Championship,False,,Crewe,England,False
1888-03-03,1888,Wales,Northern Ireland,11,0,home_win,Wales,11,11,British Home Championship,False,,Wrexham,Wales,False
1888-03-10,1888,Scotland,Wales,5,1,home_win,Scotland,4,6,British Home Championship,False,,Edinburgh,Scotland,False
1888-03-17,1888,Scotland,England,0,5,away_win,England,-5,5,British Home Championship,False,,Glasgow,Scotland,False
1888-03-24,1888,Northern Ireland,Scotland,2,10,away_win,Scotland,-8,12,British Home Championship,False,,Belfast,Ireland,False
1888-04-07,1888,Northern Ireland,England,1,5,away_win,England,-4,6,British Home Championship,False,,Belfast,Ireland,False
1888-09-19,1888,Scotland,Canada,4,0,home_win,Scotland,4,4,Friendly,False,,Glasgow,Scotland,False
1889-02-23,1889,England,Wales,4,1,home_win,England,3,5,British Home Championship,False,,Stoke-on-Trent,England,False
1889-03-02,1889,England,Northern Ireland,6,1,home_win,England,5,7,British Home Championship,False,,Liverpool,England,False
1889-03-09,1889,Scotland,Northern Ireland,7,0,home_win,Scotland,7,7,British Home Championship,False,,Glasgow,Scotland,False
1889-04-13,1889,England,Scotland,2,3,away_win,Scotland,-1,5,British Home Championship,False,,London,England,False
1889-04-15,1889,Wales,Scotland,0,0,draw,draw,0,0,British Home Championship,False,,Wrexham,Wales,False
1889-04-27,1889,Northern Ireland,Wales,1,3,away_win,Wales,-2,4,British Home Championship,False,,Belfast,Ireland,False
1890-02-08,1890,Wales,Northern Ireland,5,2,home_win,Wales,3,7,British Home Championship,False,,Shrewsbury,England,True
1890-03-15,1890,Northern Ireland,England,1,9,away_win,England,-8,10,British Home Championship,False,,Belfast,Ireland,False
1890-03-15,1890,Wales,England,1,3,away_win,England,-2,4,British Home Championship,False,,Wrexham,Wales,False
1890-03-22,1890,Scotland,Wales,5,0,home_win,Scotland,5,5,British Home Championship,False,,Paisley,Scotland,False
1890-03-29,1890,Northern Ireland,Scotland,1,4,away_win,Scotland,-3,5,British Home Championship,False,,Belfast,Ireland,False
1890-04-05,1890,Scotland,England,1,1,draw,draw,0,2,British Home Championship,False,,Glasgow,Scotland,False
1891-02-07,1891,Northern Ireland,Wales,7,2,home_win,Northern Ireland,5,9,British Home Championship,False,,Belfast,Ireland,False
1891-03-07,1891,England,Wales,4,1,home_win,England,3,5,British Home Championship,False,,Sunderland,England,False
1891-03-07,1891,England,Northern Ireland,6,1,home_win,England,5,7,British Home Championship,False,,Wolverhampton,England,False
1891-03-21,1891,Wales,Scotland,3,4,away_win,Scotland,-1,7,British Home Championship,False,,Wrexham,Wales,False
1891-03-28,1891,Scotland,Northern Ireland,2,1,home_win,Scotland,1,3,British Home Championship,False,,Glasgow,Scotland,False
1891-04-04,1891,England,Scotland,2,1,home_win,England,1,3,British Home Championship,False,,Blackburn,England,False
1892-02-27,1892,Wales,Northern Ireland,1,1,draw,draw,0,2,British Home Championship,False,,Bangor,Wales,False
1892-03-05,1892,Northern Ireland,England,0,2,away_win,England,-2,2,British Home Championship,False,,Belfast,Ireland,False
1892-03-05,1892,Wales,England,0,2,away_win,England,-2,2,British Home Championship,False,,Wrexham,Wales,False
1892-03-19,1892,Northern Ireland,Scotland,2,3,away_win,Scotland,-1,5,British Home Championship,False,,Belfast,Ireland,False
1892-03-26,1892,Scotland,Wales,6,1,home_win,Scotland,5,7,British Home Championship,False,,Edinburgh,Scotland,False
1892-04-02,1892,Scotland,England,1,4,away_win,England,-3,5,British Home Championship,False,,Glasgow,Scotland,False
1893-02-25,1893,England,Northern Ireland,6,1,home_win,England,5,7,British Home Championship,False,,Birmingham,England,False
1893-03-13,1893,England,Wales,6,0,home_win,England,6,6,British Home Championship,False,,Stoke-on-Trent,England,False
1893-03-18,1893,Wales,Scotland,0,8,away_win,Scotland,-8,8,British Home Championship,False,,Wrexham,Wales,False
1893-03-25,1893,Scotland,Northern Ireland,6,1,home_win,Scotland,5,7,British Home Championship,False,,Glasgow,Scotland,False
1893-04-01,1893,England,Scotland,5,2,home_win,England,3,7,British Home Championship,False,,Richmond,England,False
1894-02-24,1894,Wales,Northern Ireland,4,1,home_win,Wales,3,5,British Home Championship,False,,Swansea,Wales,False
1894-03-03,1894,Northern Ireland,England,2,2,draw,draw,0,4,British Home Championship,False,,Belfast,Ireland,False
1894-03-12,1894,Wales,England,1,5,away_win,England,-4,6,British Home Championship,False,,Wrexham,Wales,False
1894-03-24,1894,Scotland,Wales,5,2,home_win,Scotland,3,7,British Home Championship,False,,Kilmarnock,Scotland,False
1894-03-31,1894,Northern Ireland,Scotland,1,2,away_win,Scotland,-1,3,British Home Championship,False,,Belfast,Ireland,False
1894-04-07,1894,Scotland,England,2,2,draw,draw,0,4,British Home Championship,False,,Glasgow,Scotland,False
1895-03-09,1895,England,Northern Ireland,9,0,home_win,England,9,9,British Home Championship,False,,Derby,England,False
1895-03-16,1895,Northern Ireland,Wales,2,2,draw,draw,0,4,British Home Championship,False,,Belfast,Ireland,False
1895-03-18,1895,England,Wales,1,1,draw,draw,0,2,British Home Championship,False,,London,England,False
1895-03-23,1895,Wales,Scotland,2,2,draw,draw,0,4,British Home Championship,False,,Wrexham,Wales,False
1895-03-30,1895,Scotland,Northern Ireland,3,1,home_win,Scotland,2,4,British Home Championship,False,,Glasgow,Scotland,False
1895-04-06,1895,England,Scotland,3,0,home_win,England,3,3,British Home Championship,False,,Liverpool,England,False
1896-02-29,1896,Wales,Northern Ireland,6,1,home_win,Wales,5,7,British Home Championship,False,,Wrexham,Wales,False
1896-03-07,1896,Northern Ireland,England,0,2,away_win,England,-2,2,British Home Championship,False,,Belfast,Ireland,False
1896-03-16,1896,Wales,England,1,9,away_win,England,-8,10,British Home Championship,False,,Cardiff,Wales,False
1896-03-21,1896,Scotland,Wales,4,0,home_win,Scotland,4,4,British Home Championship,False,,Dundee,Scotland,False
1896-03-28,1896,Northern Ireland,Scotland,3,3,draw,draw,0,6,British Home Championship,False,,Belfast,Ireland,False
1896-04-04,1896,Scotland,England,2,1,home_win,Scotland,1,3,British Home Championship,False,,Glasgow,Scotland,False
1897-02-20,1897,England,Northern Ireland,6,0,home_win,England,6,6,British Home Championship,False,,Nottingham,England,False
1897-03-06,1897,Northern Ireland,Wales,4,3,home_win,Northern Ireland,1,7,British Home Championship,False,,Belfast,Ireland,False
1897-03-20,1897,Wales,Scotland,2,2,draw,draw,0,4,British Home Championship,False,,Wrexham,Wales,False
1897-03-27,1897,Scotland,Northern Ireland,5,1,home_win,Scotland,4,6,British Home Championship,False,,Glasgow,Scotland,False
1897-03-29,1897,England,Wales,4,0,home_win,England,4,4,British Home Championship,False,,Sheffield,England,False
1897-04-03,1897,England,Scotland,1,2,away_win,Scotland,-1,3,British Home Championship,False,,London,England,False
1898-02-19,1898,Wales,Northern Ireland,0,1,away_win,Northern Ireland,-1,1,British Home Championship,False,,Llandudno,Wales,False
1898-03-05,1898,Northern Ireland,England,2,3,away_win,England,-1,5,British Home Championship,False,,Belfast,Ireland,False
1898-03-19,1898,Scotland,Wales,5,2,home_win,Scotland,3,7,British Home Championship,False,,Motherwell,Scotland,False
1898-03-26,1898,Northern Ireland,Scotland,0,3,away_win,Scotland,-3,3,British Home Championship,False,,Belfast,Ireland,False
1898-03-28,1898,Wales,England,0,3,away_win,England,-3,3,British Home Championship,False,,Wrexham,Wales,False
1898-04-02,1898,Scotland,England,1,3,away_win,England,-2,4,British Home Championship,False,,Glasgow,Scotland,False
1899-02-18,1899,England,Northern Ireland,13,2,home_win,England,11,15,British Home Championship,False,,Sunderland,England,False
1899-03-04,1899,Northern Ireland,Wales,1,0,home_win,Northern Ireland,1,1,British Home Championship,False,,Belfast,Ireland,False
1899-03-18,1899,Wales,Scotland,0,6,away_win,Scotland,-6,6,British Home Championship,False,,Wrexham,Wales,False
1899-03-20,1899,England,Wales,4,0,home_win,England,4,4,British Home Championship,False,,Bristol,England,False
1899-03-25,1899,Scotland,Northern Ireland,9,1,home_win,Scotland,8,10,British Home Championship,False,,Glasgow,Scotland,False
1899-04-08,1899,England,Scotland,2,1,home_win,England,1,3,British Home Championship,False,,Birmingham,England,False
1900-02-03,1900,Scotland,Wales,5,2,home_win,Scotland,3,7,British Home Championship,False,,Aberdeen,Scotland,False
1900-02-24,1900,Wales,Northern Ireland,2,0,home_win,Wales,2,2,British Home Championship,False,,Llandudno,Wales,False
1900-03-03,1900,Northern Ireland,Scotland,0,3,away_win,Scotland,-3,3,British Home Championship,False,,Belfast,Ireland,False
1900-03-17,1900,Northern Ireland,England,0,2,away_win,England,-2,2,British Home Championship,False,,Dublin,Ireland,False
1900-03-26,1900,Wales,England,1,1,draw,draw,0,2,British Home Championship,False,,Cardiff,Wales,False
1900-04-07,1900,Scotland,England,4,1,home_win,Scotland,3,5,British Home Championship,False,,Glasgow,Scotland,False
1901-02-23,1901,Scotland,Northern Ireland,11,0,home_win,Scotland,11,11,British Home Championship,False,,Glasgow,Scotland,False
1901-03-02,1901,Wales,Scotland,1,1,draw,draw,0,2,British Home Championship,False,,Wrexham,Wales,False
1901-03-09,1901,England,Northern Ireland,3,0,home_win,England,3,3,British Home Championship,False,,Southampton,England,False
1901-03-18,1901,England,Wales,6,0,home_win,England,6,6,British Home Championship,False,,Newcastle,England,False
1901-03-23,1901,Northern Ireland,Wales,0,1,away_win,Wales,-1,1,British Home Championship,False,,Belfast,Ireland,False
1901-03-30,1901,England,Scotland,2,2,draw,draw,0,4,British Home Championship,False,,London,England,False
1902-02-22,1902,Wales,Northern Ireland,0,3,away_win,Northern Ireland,-3,3,British Home Championship,False,,Cardiff,Wales,False
1902-03-01,1902,Northern Ireland,Scotland,1,5,away_win,Scotland,-4,6,British Home Championship,False,,Belfast,Ireland,False
1902-03-03,1902,Wales,England,0,0,draw,draw,0,0,British Home Championship,False,,Wrexham,Wales,False
1902-03-15,1902,Scotland,Wales,5,1,home_win,Scotland,4,6,British Home Championship,False,,Greenock,Scotland,False
1902-03-22,1902,Northern Ireland,England,0,1,away_win,England,-1,1,British Home Championship,False,,Belfast,Ireland,False
1902-05-03,1902,England,Scotland,2,2,draw,draw,0,4,British Home Championship,False,,Birmingham,England,False
1902-07-20,1902,Uruguay,Argentina,0,6,away_win,Argentina,-6,6,Friendly,False,,Montevideo,Uruguay,False
1902-10-12,1902,Austria,Hungary,5,0,home_win,Austria,5,5,Friendly,False,,Vienna,Austria,False
1903-02-14,1903,England,Northern Ireland,4,0,home_win,England,4,4,British Home Championship,False,,Wolverhampton,England,False
1903-03-02,1903,England,Wales,2,1,home_win,England,1,3,British Home Championship,False,,Portsmouth,England,False
1903-03-09,1903,Wales,Scotland,0,1,away_win,Scotland,-1,1,British Home Championship,False,,Cardiff,Wales,False
1903-03-21,1903,Scotland,Northern Ireland,0,2,away_win,Northern Ireland,-2,2,British Home Championship,False,,Glasgow,Scotland,False
1903-03-28,1903,Northern Ireland,Wales,2,0,home_win,Northern Ireland,2,2,British Home Championship,False,,Belfast,Ireland,False
1903-04-04,1903,England,Scotland,1,2,away_win,Scotland,-1,3,British Home Championship,False,,Sheffield,England,False
1903-04-05,1903,Hungary,Czechoslovakia,2,1,home_win,Hungary,1,3,Friendly,False,,Budapest,Hungary,False
1903-06-11,1903,Hungary,Austria,3,2,home_win,Hungary,1,5,Friendly,False,,Budapest,Hungary,False
1903-09-13,1903,Argentina,Uruguay,2,3,away_win,Uruguay,-1,5,Friendly,False,,Buenos Aires,Argentina,False
1903-10-11,1903,Austria,Hungary,4,2,home_win,Austria,2,6,Friendly,False,,Vienna,Austria,False
1904-02-29,1904,Wales,England,2,2,draw,draw,0,4,British Home Championship,False,,Wrexham,Wales,False
1904-03-12,1904,Northern Ireland,England,1,3,away_win,England,-2,4,British Home Championship,False,,Belfast,Ireland,False
1904-03-12,1904,Scotland,Wales,1,1,draw,draw,0,2,British Home Championship,False,,Dundee,Scotland,False
1904-03-21,1904,Wales,Northern Ireland,0,1,away_win,Northern Ireland,-1,1,British Home Championship,False,,Bangor,Wales,False
1904-03-26,1904,Northern Ireland,Scotland,1,1,draw,draw,0,2,British Home Championship,False,,Dublin,Ireland,False
1904-04-09,1904,Scotland,England,0,1,away_win,England,-1,1,British Home Championship,False,,Glasgow,Scotland,False
1904-05-01,1904,Belgium,France,3,3,draw,draw,0,6,Évence Coppée Trophy,False,,Brussels,Belgium,False
1904-06-02,1904,Hungary,Austria,3,0,home_win,Hungary,3,3,Friendly,False,,Budapest,Hungary,False
1904-10-09,1904,Austria,Hungary,5,4,home_win,Austria,1,9,Friendly,False,,Vienna,Austria,False
1905-02-12,1905,France,Switzerland,1,0,home_win,France,1,1,Friendly,False,,Paris,France,False
1905-02-25,1905,England,Northern Ireland,1,1,draw,draw,0,2,British Home Championship,False,,Middlesbrough,England,False
1905-03-06,1905,Wales,Scotland,3,1,home_win,Wales,2,4,British Home Championship,False,,Wrexham,Wales,False
1905-03-18,1905,Scotland,Northern Ireland,4,0,home_win,Scotland,4,4,British Home Championship,False,,Glasgow,Scotland,False
1905-03-27,1905,England,Wales,3,1,home_win,England,2,4,British Home Championship,False,,Liverpool,England,False
1905-04-01,1905,England,Scotland,1,0,home_win,England,1,1,British Home Championship,False,,London,England,False
1905-04-08,1905,Northern Ireland,Wales,2,2,draw,draw,0,4,British Home Championship,False,,Belfast,Ireland,False
1905-04-09,1905,Hungary,Austria,0,0,draw,draw,0,0,Friendly,False,,Budapest,Hungary,False
1905-04-17,1905,Guernsey,Alderney,6,0,home_win,Guernsey,6,6,Muratti Vase,False,,Guernsey,Guernsey,False
1905-04-27,1905,Jersey,Guernsey,0,1,away_win,Guernsey,-1,1,Muratti Vase,False,,Jersey,Jersey,False
1905-04-30,1905,Belgium,Netherlands,1,4,away_win,Netherlands,-3,5,Friendly,False,,Antwerp,Belgium,False
1905-05-07,1905,Belgium,France,7,0,home_win,Belgium,7,7,Friendly,False,,Brussels,Belgium,False
1905-05-14,1905,Netherlands,Belgium,4,0,home_win,Netherlands,4,4,Friendly,False,,Rotterdam,Netherlands,False
1905-07-21,1905,Guyana,Trinidad and Tobago,1,4,away_win,Trinidad and Tobago,-3,5,Friendly,False,,Georgetown,British Guiana,False
1905-08-15,1905,Argentina,Uruguay,0,0,draw,draw,0,0,Copa Lipton,False,,Buenos Aires,Argentina,False
1906-02-17,1906,Northern Ireland,England,0,5,away_win,England,-5,5,British Home Championship,False,,Belfast,Ireland,False
1906-03-03,1906,Scotland,Wales,0,2,away_win,Wales,-2,2,British Home Championship,False,,Edinburgh,Scotland,False
1906-03-17,1906,Northern Ireland,Scotland,0,1,away_win,Scotland,-1,1,British Home Championship,False,,Dublin,Ireland,False
1906-03-19,1906,Wales,England,0,1,away_win,England,-1,1,British Home Championship,False,,Cardiff,Wales,False
1906-03-29,1906,Jersey,Guernsey,1,2,away_win,Guernsey,-1,3,Muratti Vase,False,,Jersey,Jersey,False
1906-04-01,1906,Hungary,Czechoslovakia,1,1,draw,draw,0,2,Friendly,False,,Budapest,Hungary,False
1906-04-02,1906,Wales,Northern Ireland,4,4,draw,draw,0,8,British Home Championship,False,,Wrexham,Wales,False
1906-04-02,1906,Guernsey,Alderney,1,0,home_win,Guernsey,1,1,Muratti Vase,False,,Guernsey,Guernsey,False
1906-04-07,1906,Scotland,England,2,1,home_win,Scotland,1,3,British Home Championship,False,,Glasgow,Scotland,False
1906-04-22,1906,France,Belgium,0,5,away_win,Belgium,-5,5,Friendly,False,,Saint-Cloud,France,False
1906-04-29,1906,Belgium,Netherlands,5,0,home_win,Belgium,5,5,Friendly,False,,Antwerp,Belgium,False
1906-05-13,1906,Netherlands,Belgium,2,3,away_win,Belgium,-1,5,Friendly,False,,Rotterdam,Netherlands,False
1906-07-09,1906,Argentina,South Africa,0,1,away_win,South Africa,-1,1,Friendly,False,,Buenos Aires,Argentina,False
1906-08-15,1906,Uruguay,Argentina,0,2,away_win,Argentina,-2,2,Copa Lipton,False,,Montevideo,Uruguay,False
1906-10-07,1906,Czechoslovakia,Hungary,4,4,draw,draw,0,8,Friendly,False,,Prague,Bohemia,False
1906-10-21,1906,Argentina,Uruguay,2,1,home_win,Argentina,1,3,Copa Newton,False,,Buenos Aires,Argentina,False
1906-11-04,1906,Hungary,Austria,3,1,home_win,Hungary,2,4,Friendly,False,,Budapest,Hungary,False
1907-02-16,1907,England,Northern Ireland,1,0,home_win,England,1,1,British Home Championship,False,,Liverpool,England,False
1907-02-23,1907,Northern Ireland,Wales,2,3,away_win,Wales,-1,5,British Home Championship,False,,Belfast,Ireland,False
1907-03-04,1907,Wales,Scotland,1,0,home_win,Wales,1,1,British Home Championship,False,,Wrexham,Wales,False
1907-03-16,1907,Scotland,Northern Ireland,3,0,home_win,Scotland,3,3,British Home Championship,False,,Glasgow,Scotland,False
1907-03-18,1907,England,Wales,1,1,draw,draw,0,2,British Home Championship,False,,London,England,False
1907-03-21,1907,Alderney,Jersey,1,2,away_win,Jersey,-1,3,Muratti Vase,False,,Guernsey,Guernsey,True
1907-04-04,1907,Jersey,Guernsey,2,3,away_win,Guernsey,-1,5,Muratti Vase,False,,Jersey,Jersey,False
1907-04-06,1907,England,Scotland,1,1,draw,draw,0,2,British Home Championship,False,,Newcastle,England,False
1907-04-07,1907,Hungary,Czechoslovakia,5,2,home_win,Hungary,3,7,Friendly,False,,Budapest,Hungary,False
1907-04-14,1907,Belgium,Netherlands,1,3,away_win,Netherlands,-2,4,Friendly,False,,Antwerp,Belgium,False
1907-04-21,1907,Belgium,France,1,2,away_win,France,-1,3,Friendly,False,,Brussels,Belgium,False
1907-05-05,1907,Austria,Hungary,3,1,home_win,Austria,2,4,Friendly,False,,Vienna,Austria,False
1907-05-09,1907,Netherlands,Belgium,1,2,away_win,Belgium,-1,3,Friendly,False,,Haarlem,Netherlands,False
1907-10-06,1907,Czechoslovakia,Hungary,5,3,home_win,Czechoslovakia,2,8,Friendly,False,,Prague,Bohemia,False
1907-11-03,1907,Hungary,Austria,4,1,home_win,Hungary,3,5,Friendly,False,,Budapest,Hungary,False
1908-02-15,1908,Northern Ireland,England,1,3,away_win,England,-2,4,British Home Championship,False,,Belfast,Ireland,False
1908-03-07,1908,Scotland,Wales,2,1,home_win,Scotland,1,3,British Home Championship,False,,Dundee,Scotland,False
1908-03-08,1908,Switzerland,France,1,2,away_win,France,-1,3,Friendly,False,,Geneva,Switzerland,False
1908-03-14,1908,Northern Ireland,Scotland,0,5,away_win,Scotland,-5,5,British Home Championship,False,,Dublin,Ireland,False
1908-03-16,1908,Wales,England,1,7,away_win,England,-6,8,British Home Championship,False,,Wrexham,Wales,False
1908-03-29,1908,Belgium,Netherlands,1,4,away_win,Netherlands,-3,5,Friendly,False,,Antwerp,Belgium,False
1908-04-02,1908,Guernsey,Alderney,3,0,home_win,Guernsey,3,3,Muratti Vase,False,,Jersey,Jersey,True
1908-04-04,1908,Scotland,England,1,1,draw,draw,0,2,British Home Championship,False,,Glasgow,Scotland,False
1908-04-05,1908,Hungary,Czechoslovakia,5,2,home_win,Hungary,3,7,Friendly,False,,Budapest,Hungary,False
1908-04-05,1908,Switzerland,Germany,5,3,home_win,Switzerland,2,8,Friendly,False,,Basel,Switzerland,False
1908-04-09,1908,Guernsey,Jersey,0,4,away_win,Jersey,-4,4,Muratti Vase,False,,Guernsey,Guernsey,False
1908-04-11,1908,Wales,Northern Ireland,0,1,away_win,Northern Ireland,-1,1,British Home Championship,False,,Aberdare,Wales,False
1908-04-12,1908,France,Belgium,1,2,away_win,Belgium,-1,3,Friendly,False,,Colombes,France,False
1908-04-26,1908,Netherlands,Belgium,3,1,home_win,Netherlands,2,4,Friendly,False,,Rotterdam,Netherlands,False
1908-05-03,1908,Austria,Hungary,4,0,home_win,Austria,4,4,Friendly,False,,Vienna,Austria,False
1908-05-10,1908,Netherlands,France,4,1,home_win,Netherlands,3,5,Friendly,False,,Rotterdam,Netherlands,False
1908-06-06,1908,Austria,England,1,6,away_win,England,-5,7,Friendly,False,,Vienna,Austria,False
1908-06-07,1908,Austria,Germany,3,2,home_win,Austria,1,5,Friendly,False,,Vienna,Austria,False
1908-06-08,1908,Austria,England,1,11,away_win,England,-10,12,Friendly,False,,Vienna,Austria,False
1908-06-10,1908,Hungary,England,0,7,away_win,England,-7,7,Friendly,False,,Budapest,Hungary,False
1908-06-13,1908,Czechoslovakia,England,0,4,away_win,England,-4,4,Friendly,False,,Prague,Bohemia,False
1908-07-12,1908,Sweden,Norway,11,3,home_win,Sweden,8,14,Friendly,False,,Gothenburg,Sweden,False
1908-08-15,1908,Uruguay,Argentina,2,2,draw,draw,0,4,Copa Lipton,False,,Montevideo,Uruguay,False
1908-09-13,1908,Argentina,Uruguay,2,1,home_win,Argentina,1,3,Copa Newton,False,,Buenos Aires,Argentina,False
1908-10-04,1908,Argentina,Uruguay,0,1,away_win,Uruguay,-1,1,Copa Premio Honor Argentino,False,,Buenos Aires,Argentina,False
1908-10-22,1908,France,Denmark,1,17,away_win,Denmark,-16,18,Olympic Games,False,,London,England,True
1908-10-23,1908,Netherlands,Sweden,2,0,home_win,Netherlands,2,2,Olympic Games,False,,London,England,True
1908-10-25,1908,Netherlands,Sweden,5,3,home_win,Netherlands,2,8,Friendly,False,,The Hague,Netherlands,False
1908-10-26,1908,Belgium,Sweden,2,1,home_win,Belgium,1,3,Friendly,False,,Brussels,Belgium,False
1908-11-01,1908,Hungary,Austria,5,3,home_win,Hungary,2,8,Friendly,False,,Budapest,Hungary,False
1909-02-13,1909,England,Northern Ireland,4,0,home_win,England,4,4,British Home Championship,False,,Bradford,England,False
1909-03-01,1909,Wales,Scotland,3,2,home_win,Wales,1,5,British Home Championship,False,,Wrexham,Wales,False
